#  day      ffa      ffb      ffc      ffd  fferra  fferrb  fferrc   fferrd
#
1350.70 20.55246 10.39392 10.78356  3.13611 0.16738 0.12923 0.13037 0.11474
1352.61 20.92821  9.82246 10.27032  3.24680 0.18470 0.14771 0.14881 0.13684
1354.86 20.51223 10.78938 10.44631  3.40239 0.17407 0.13908 0.13814 0.12478
1357.87 20.78028 10.55789 10.55589  3.23687 0.18465 0.15022 0.15021 0.13758
1358.68 20.27433 10.98596 10.45266  3.23767 0.21267 0.18648 0.18537 0.17552
1359.59 20.72292 11.33636 10.93333  3.30347 0.18696 0.15531 0.15427 0.14102
1360.90 20.70605 11.10219 10.49844  3.25444 0.16221 0.12376 0.12185 0.10611
1362.84 20.95053 11.29777 10.30059  3.36829 0.25439 0.23132 0.22963 0.22208
1363.43 20.11075 11.11660 10.13437  3.34607 0.26549 0.24571 0.24417 0.23733
1364.86 21.18397 11.15694 10.62627  3.26848 0.18553 0.15082 0.14944 0.13657
1367.85 20.95791 10.90968 10.13628  3.46280 0.17948 0.14383 0.14177 0.12974
1368.60 20.96511 10.80949 10.68382  3.36066 0.18273 0.14756 0.14723 0.13407
1371.83 21.18596 10.99171 11.01694  3.40179 0.15743 0.11390 0.11399 0.09508
1372.57 20.95057 11.06180 10.65814  3.41716 0.19106 0.15845 0.15745 0.14533
1374.83 20.87706 10.79152 10.66900  3.39632 0.19056 0.15753 0.15723 0.14504
1375.56 20.95630 10.75747 10.79202  3.42691 0.16808 0.12886 0.12897 0.11341
1378.64 20.98717 11.58318 10.52670  3.47445 0.17011 0.13384 0.13066 0.11626
1380.71 20.61238 10.12828 10.71931  3.51131 0.21954 0.19130 0.19246 0.18262
1382.52 21.54874 10.97069 10.74661  3.50045 0.18566 0.14861 0.14802 0.13488
1384.66 21.26822 10.90501 11.01397  3.37177 0.19538 0.16177 0.16203 0.14932
1385.73 21.43822 10.70098 11.46433  3.40586 0.18643 0.14944 0.15147 0.13648
1386.54 22.07854 11.35479 11.07187  3.50235 0.21914 0.18739 0.18678 0.17583
1389.58 21.53403 10.97782 10.85393  3.46079 0.18534 0.14831 0.14798 0.13449
1393.73 21.64479 11.13052 10.65909  3.47779 0.27175 0.24788 0.24713 0.23962
1394.49 21.38868 10.78376 11.01028  3.45450 0.19442 0.15974 0.16029 0.14751
1396.63 22.34755 10.91366 10.97996  3.59878 0.20040 0.16269 0.16285 0.15049
1398.73 21.21580 11.40376 11.02463  3.39405 0.18079 0.14548 0.14442 0.12999
1399.70 21.25489 11.33928 10.48027  3.45204 0.23319 0.20674 0.20511 0.19632
1402.69 21.71340 11.37170 11.17667  3.53696 0.26928 0.24534 0.24502 0.23662
1403.72 21.64405 11.36504 10.97688  3.46623 0.19227 0.15733 0.15634 0.14330
1405.74 22.03692 11.06950 11.07354  3.48872 0.19292 0.15539 0.15540 0.14203
1408.66 21.77219 11.21370 11.12038  3.45060 0.17630 0.13618 0.13590 0.12019
1412.61 21.49652 10.34458 11.32424  3.57608 0.17495 0.13351 0.13634 0.12013
1414.74 21.87198 11.25899 11.25395  3.42446 0.19343 0.15734 0.15733 0.14358
1417.49 21.24802 11.17616 10.81568  3.62376 0.18718 0.15257 0.15163 0.13876
1419.71 21.59140 10.99037 11.03929  3.48271 0.16235 0.11799 0.11816 0.10005
1421.69 21.69540 10.99384 11.05532  3.53359 0.18115 0.14221 0.14238 0.12776
1422.42 21.86052 10.90429 11.00018  3.50392 0.27151 0.24656 0.24672 0.23865
1427.65 21.64536 11.09280 11.11699  3.63847 0.18164 0.14338 0.14345 0.12886
1431.67 21.86189 10.90990 11.48526  3.70479 0.16388 0.11805 0.11999 0.10072
1433.46 21.31243 10.71395 10.79093  3.55586 0.17768 0.13911 0.13932 0.12520
1438.48 21.80591 11.21807 11.31572  3.67962 0.20287 0.16902 0.16925 0.15660
1441.36 21.42814 10.37854 11.21223  3.49739 0.20425 0.17048 0.17237 0.16009
1443.45 22.36122 11.36537 11.35840  3.76588 0.16889 0.12318 0.12316 0.10505
1450.34 22.18104 11.17204 11.26607  3.83204 0.20778 0.17307 0.17329 0.16121
1452.61 21.25431 11.73331 11.46945  3.70814 0.17060 0.13341 0.13258 0.11548
1453.50 21.56032 11.99737 10.85247  3.65867 0.23589 0.20998 0.20772 0.19847
1456.49 22.00881 12.06980 11.20243  3.62292 0.15387 0.10715 0.10370 0.08191
1459.24 21.90676 11.67490 10.97132  3.53287 0.17158 0.13065 0.12844 0.11231
1464.49 21.27184 11.93421 11.12045  3.72799 0.16757 0.13006 0.12744 0.11086
1466.54 21.81146 12.38726 11.29719  3.60346 0.15238 0.10778 0.10338 0.08100
1470.26 22.46718 12.50802 11.29566  3.65009 0.18166 0.14304 0.13936 0.12372
1473.28 22.00276 11.98821 11.34702  3.59967 0.15972 0.11513 0.11277 0.09245
1476.35 22.65241 12.13558 11.26294  3.73356 0.16143 0.11353 0.11024 0.08994
1481.17 21.97071 11.82735 11.29717  3.73293 0.17498 0.13519 0.13354 0.11722
1484.50 23.11026 12.12099 11.67507  3.55613 0.28053 0.25447 0.25372 0.24479
1488.48 23.69145 12.49722 12.04472  3.97788 0.17561 0.12750 0.12592 0.10584
1491.47 24.09164 12.30441 11.89515  3.78417 0.16722 0.11188 0.11028 0.08708
1494.30 23.38438 12.09691 12.04119  3.85063 0.16543 0.11379 0.11357 0.09063
1496.34 24.83961 12.22859 12.47130  3.69377 0.17906 0.12342 0.12429 0.10169
1500.49 24.40040 12.94995 12.40645  3.76052 0.17879 0.12872 0.12678 0.10508
