#  day      ffa      ffb      ffc      ffd  fferra  fferrb  fferrc   fferrd
#
1503.42 23.60778 12.62858 12.42467  3.73574 0.16171 0.10875 0.10790 0.08116
1506.53 24.37895 12.63371 12.65951  3.95842 0.15882 0.09785 0.09797 0.06628
1509.45 24.49354 12.28448 12.52191  3.73782 0.20245 0.15754 0.15821 0.14103
1511.42 24.23527 12.39073 12.74600  3.80900 0.38108 0.36001 0.36045 0.35299
1516.51 24.25333 12.13844 11.79848  3.90552 0.16730 0.11008 0.10874 0.08580
1523.39 26.70486 12.93824 13.30118  4.05928 0.17827 0.11015 0.11169 0.08185
1526.22 25.12142 12.02701 13.19062  3.79971 0.16523 0.09894 0.10415 0.07143
1533.46 25.78873 12.81471 12.48472  4.08296 0.19457 0.14080 0.13973 0.12047
1537.34 25.69142 12.69259 13.22136  4.08217 0.19873 0.14674 0.14841 0.12780
1540.49 25.78650 12.30748 13.11187  4.23848 0.19411 0.13854 0.14117 0.11995
1541.33 25.35184 11.97338 13.26401  4.33993 0.18860 0.13264 0.13699 0.11450
1544.32 25.70946 12.51009 12.73110  4.22553 0.17823 0.11664 0.11750 0.09281
1548.31 24.88612 12.68278 13.97787  4.35761 0.19983 0.15306 0.15706 0.13535
1550.30 25.06065 12.61645 12.95590  4.21731 0.18091 0.12590 0.12714 0.10374
1553.27 25.16708 12.70455 12.02990  4.07518 0.17439 0.11585 0.11323 0.09060
1555.30 25.53553 12.90120 12.65767  4.17660 0.16921 0.10559 0.10453 0.07606
1558.40 25.73952 12.67823 12.86461  4.26315 0.17778 0.11637 0.11710 0.09170
1561.28 25.25141 12.41625 12.81296  4.07414 0.19644 0.14554 0.14677 0.12740
1564.29 25.79640 12.83083 13.49329  4.17078 0.17920 0.11867 0.12128 0.09371
1568.26 26.09152 12.71122 13.60433  4.27306 0.18969 0.13149 0.13467 0.11014
1569.25 24.36635 12.09709 13.19475  4.18960 0.19377 0.14643 0.14980 0.12963
1574.25 25.42768 12.59846 12.96079  4.31453 0.18000 0.12180 0.12316 0.09895
1576.24 25.74014 11.82898 12.92061  4.23814 0.20785 0.15616 0.15925 0.14141
1579.23 25.87534 12.23826 13.44060  4.32783 0.17751 0.11313 0.11794 0.08990
1585.22 25.67570 12.33133 13.53931  4.49964 0.21153 0.16275 0.16617 0.14745
1587.21 26.39902 12.39105 12.94346  4.42941 0.18081 0.11459 0.11677 0.09116
1589.21 25.38212 12.29858 13.80124  4.53449 0.20106 0.15059 0.15521 0.13407
